100 kDa ileum brush border membrane protei	3.4.17.21
Putative ABC transporter ATP-binding protein SA247	3.6.3.-
Putative ABC transporter ATP-binding protein SACOL270	3.6.3.-
Putative ABC transporter ATP-binding protein SAG163	3.6.3.-
Putative ABC transporter ATP-binding protein SAR276	3.6.3.-
Putative ABC transporter ATP-binding protein SAS256	3.6.3.-
Putative ABC transporter ATP-binding protein SAV268	3.6.3.-
Putative ABC transporter ATP-binding protein SAV_360	3.6.3.-
Putative ABC transporter ATP-binding protein SAV_584	3.6.3.-
Putative ABC transporter ATP-binding protein SCO232	3.6.3.-
Putative ABC transporter ATP-binding protein SCO316	3.6.3.-
Putative ABC transporter ATP-binding protein SCO595	3.6.3.-
Putative ABC transporter ATP-binding protein sll038	3.6.3.-
Putative ABC transporter ATP-binding protein SMU_1934	3.6.3.-
Putative ABC transporter ATP-binding protein SP_048	3.6.3.-
Putative ABC transporter ATP-binding protein spr043	3.6.3.-
Putative ABC transporter ATP-binding protein SSO189	3.6.3.-
Putative ABC transporter ATP-binding protein SSO203	3.6.3.-
Putative ABC transporter ATP-binding protein ST113	3.6.3.-
Putative ABC transporter ATP-binding protein TDE_028	3.6.3.-
Putative ABC transporter ATP-binding protein TDE_090	3.6.3.-
Putative ABC transporter ATP-binding protein TDE_213	3.6.3.-
Putative ABC transporter ATP-binding protein tll243	3.6.3.-
Putative ABC transporter ATP-binding protein TM_022	3.6.3.-
Putative ABC transporter ATP-binding protein TTE024	3.6.3.-
Putative ABC transporter ATP-binding protein TTE158	3.6.3.-
Putative ABC transporter ATP-binding protein VNG_1631	3.6.3.-
Putative ABC transporter ATP-binding protein VNG_2317	3.6.3.-
Putative ABC transporter ATP-binding protein VPA148	3.6.3.-
Putative ABC transporter ATP-binding protein VV2_153	3.6.3.-
Putative ABC transporter ATP-binding protein VVA034	3.6.3.-
Putative ABC transporter C family member 1	3.6.3.44
Putative abhydrolase domain-containing protein FAM108A	3.-.-.-
Putative acetolactate synthase large subunit Ilv	2.2.1.6
Putative acetolactate synthase large subunit IlvB	2.2.1.6
Putative acetyl-CoA C-acetyltransferase vra	2.3.1.-
Putative acetyl-CoA C-acetyltransferase yhf	2.3.1.-
Putative acetyl-coenzyme A carboxylase carboxyl transferase subunit bet	6.4.1.2
Putative acetylornithine deacetylas	3.5.1.16
Putative acetyltransferas	2.3.1.-
Putative acetyltransferase C18B11.09	2.3.1.-
Putative acetyltransferase DDB_G027550	2.3.1.-
Putative acetyltransferase DDB_G027591	2.3.1.-
Putative acetyltransferase DDB_G028082	2.3.1.-
Putative acetyltransferase eps	2.3.1.-
Putative acetyl transferase MO	2.3.1.-
Putative acetyltransferase MPN_11	2.3.1.-
Putative acetyltransferase MW072	2.3.1.-
Putative acetyltransferase MW247	2.3.1.-
Putative acetyltransferase ORF33	2.3.-.-
Putative acetyltransferase SA071	2.3.1.-
Putative acetyltransferase SA234	2.3.1.-
Putative acetyltransferase SACOL082	2.3.1.-
Putative acetyltransferase SACOL257	2.3.1.-
Putative acetyltransferase SAR081	2.3.1.-
Putative acetyltransferase SAR263	2.3.1.-
Putative acetyltransferase SAS072	2.3.1.-
Putative acetyltransferase SAS244	2.3.1.-
Putative acetyltransferase SAV076	2.3.1.-
Putative acetyltransferase SAV255	2.3.1.-
Putative acetyltransferase SH049	2.3.1.-
Putative acetyltransferase yjb	2.3.1.-
Putative acetyltransferase YJL218	2.3.1.-
Putative acetyltransferase yvo	2.3.1.-
Putative acid phosphatase 1	3.1.3.2
Putative acid phosphatase	3.1.3.2
Putative acid phosphatase F26C11.	3.1.3.2
Putative aconitate hydratase, cytoplasmi	4.2.1.3
Putative actin-fragmin kinase DDB_G026874	2.7.11.-
Putative acyl-ACP desaturase desA	1.14.19.-
Putative acyl-[acyl-carrier-protein] desaturase desA	1.14.19.-
Putative acyl carrier protein phosphodiesteras	3.1.4.14
Putative acyl-CoA dehydrogenase ydb	1.3.99.-
Putative acyl--CoA ligase yda	6.2.1.-
Putative acyl-CoA synthetase yng	6.2.1.-
Putative acyl-CoA thioester hydrolase HI_028	3.1.2.-
Putative acyl-CoA thioester hydrolase ybh	3.1.2.-
Putative acyl-coenzyme A oxidase 3.2, peroxisoma	1.3.3.6
Putative acyl-coenzyme A thioesterase	3.1.2.-
Putative acyltransferase Rv085	2.3.1.-
Putative adenine deaminase BA_3032/GBAA_3032/BAS281	3.5.4.2
Putative adenine deaminase BC_301	3.5.4.2
Putative adenine deaminase BH063	3.5.4.2
Putative adenine deaminase OB075	3.5.4.2
Putative adenine deaminase PTO108	3.5.4.2
Putative adenine deaminase yer	3.5.4.2
Putative adenosylcobalamin-dependent ribonucleoside-triphosphate reductas	1.17.4.2
Putative adenosylhomocysteinase	3.3.1.1
Putative adenylate cyclase	4.6.1.1
Putative adenylate kinas	2.7.4.3
Putative adenylate kinase	2.7.4.3
Putative adenylate kinase fap	2.7.4.3
Putative adenylate kinase FAP	2.7.4.3
Putative adenylate kinase HBR	2.7.4.3
Putative adenylate kinase-like protein C9orf9	2.7.4.3
Putative adenylate kinase-like protein C9orf98 homolo	2.7.4.3
Putative ADP-ribose pyrophosphatase yjh	3.6.1.-
Putative ADP-ribosyl glycohydrolase L44	3.2.2.-
Putative ADP-ribosyl glycohydrolase L54	3.2.2.-
Putative agmatinase	3.5.3.11
Putative agmatine deiminas	3.5.3.12
Putative agmatine deiminase	3.5.3.12
Putative AgrB-like protei	3.4.-.-
Putative AgrB-like protein	3.4.-.-
Putative alanine aminotransferas	2.6.1.2
Putative alanine racemase C359.0	5.1.1.1
Putative aldehyde dehydrogenase Ald	1.2.1.3
Putative aldehyde dehydrogenase dha	1.2.1.3
Putative aldehyde dehydrogenase family 7 member A1 homolo	1.2.1.3
Putative aldehyde dehydrogenase-like protein C21C	1.2.1.-
Putative aldehyde dehydrogenase-like protein C922.07	1.2.1.-
Putative aldehyde dehydrogenase-like protein C9E9.09	1.2.1.-
Putative aldehyde-dehydrogenase-like protein y4u	1.2.1.-
Putative aldehyde dehydrogenase-like protein YHR039	1.2.1.-
Putative aldehyde dehydrogenase MW204	1.2.1.3
Putative aldehyde dehydrogenase SA192	1.2.1.3
Putative aldehyde dehydrogenase SAB2006	1.2.1.3
Putative aldehyde dehydrogenase SACOL211	1.2.1.3
Putative aldehyde dehydrogenase SAOUHSC_0236	1.2.1.3
Putative aldehyde dehydrogenase SAR221	1.2.1.3
Putative aldehyde dehydrogenase SAS202	1.2.1.3
Putative aldehyde dehydrogenase SAUSA300_207	1.2.1.3
Putative aldehyde dehydrogenase SAV212	1.2.1.3
Putative aldehyde dehydrogenase SE_172	1.2.1.3
Putative aldehyde dehydrogenase SERP172	1.2.1.3
Putative aldehyde dehydrogenase SH091	1.2.1.3
Putative aldehyde dehydrogenase SSP076	1.2.1.3
Putative aldehyde dehydrogenase yfm	1.2.1.3
Putative aldo-keto reductase family 1 member B1	1.1.1.-
Putative alkaline ceramidase dcd3	3.5.1.-
Putative alkaline exonucleas	3.1.11.-
Putative all-trans-retinol 13,14-reductas	1.3.99.23
Putative alpha-1,2-glucosyltransferase ALG10-	2.4.1.-
Putative alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferas	2.4.1.101
Putative alpha,alpha-trehalose-phosphate synthase [UDP-forming] 100 kDa subuni	2.4.1.15
Putative alpha,alpha-trehalose-phosphate synthase [UDP-forming] 106 kDa subuni	2.4.1.15
Putative alpha-amylas	3.2.1.1
Putative alpha/beta hydrolase L40	3.-.-.-
Putative alpha/beta hydrolase R52	3.-.-.-
Putative alpha-galactosidase	3.2.1.22
Putative alpha-L-fucosidas	3.2.1.51
Putative alpha-L-fucosidase	3.2.1.51
Putative alpha-mannosidase mng	3.2.1.-
Putative amidas	3.5.1.4
Putative amidase AF_195	3.5.1.4
Putative amidase Ami	3.5.1.4
Putative amidase AmiA	3.5.1.4
Putative amidase AmiB	3.5.1.4
Putative amidase C550.0	3.5.1.4
Putative amidase C869.0	3.5.1.4
Putative amidase PB8B6.0	3.5.1.4
Putative amidohydrolase yha	3.5.1.-
Putative amidohydrolase ytc	3.5.-.-
Putative aminoadipate-semialdehyde dehydrogenas	6.2.1.-
Putative aminodeoxychorismate lyas	4.1.3.38
Putative aminodeoxychorismate synthas	2.6.1.85
Putative aminopeptidas	3.4.11.-
Putative aminopeptidase C13A11.0	3.4.11.-
Putative aminopeptidase frv	3.4.11.-
Putative aminopeptidase MJ055	3.4.11.-
Putative aminopeptidase sgc	3.4.11.-
Putative aminopeptidase W07G4.	3.4.11.-
Putative aminopeptidase yhf	3.4.11.-
Putative aminopeptidase ysd	3.4.11.-
Putative aminopeptidase yto	3.4.11.-
Putative aminotransferase	2.6.1.-
Putative aminotransferase Aat	2.6.1.-
Putative aminotransferase yug	2.6.1.-
Putative anthranilate synthase component I	4.1.3.27
Putative AP lyase Mb2491	3.2.2.-
Putative AP lyase Mb332	3.2.2.-
Putative AP lyase Rv2464c/MT253	3.2.2.-
Putative AP lyase Rv3297/MT339	3.2.2.-
Putative AP lyase SCO576	3.2.2.-
Putative apolipoprotein N-acyltransferas	2.3.1.-
Putative apoptosis-inducing factor 1, mitochondria	1.-.-.-
Putative apospory-associated protein	5.1.3.15
Putative arginine deiminas	3.5.3.6
Putative arginyl-tRNA--protein transferas	2.3.2.8
Putative arsenate reductas	1.20.4.1
Putative arsenical pump-driving ATPas	3.6.3.16
Putative arsenical pump-driving ATPase	3.6.3.16
Putative aryl-alcohol dehydrogenase AAD	1.1.1.-
Putative aryl-alcohol dehydrogenase AAD1	1.1.1.-
Putative aryl-alcohol dehydrogenase C977.14	1.1.1.-
Putative aryl-alcohol dehydrogenase YPL088	1.1.1.-
Putative ascorbate peroxidas	1.11.1.11
Putative asparagine synthetase [glutamine-hydrolyzing]	6.3.5.4
Putative asparagine synthetase [glutamine-hydrolyzing	6.3.5.4
Putative aspartate aminotransferas	2.6.1.1
Putative aspartate aminotransferase, cytoplasmic	2.6.1.-
Putative aspartate aminotransferase yhd	2.6.1.1
Putative aspartyl aminopeptidas	3.4.11.21
Putative aspergillopepsin A-like aspartic endopeptidase AFUA_2G1595	3.4.23.-
Putative aspergillopepsin A-like aspartic endopeptidase MCYG_0797	3.4.23.-
Putative ataxin-3 homolo	3.1.2.15
Putative ataxin-3-like protei	3.1.2.15
Putative ATP-binding protein BAB2_049	3.6.3.-
Putative ATP-binding protein BAB2_114	3.6.3.-
Putative ATP-binding protein BMEII010	3.6.3.-
Putative ATP-binding protein BRA074	3.6.3.-
Putative ATP-binding protein BRA118	3.6.3.-
Putative ATP-binding protein BruAb2_048	3.6.3.-
Putative ATP-binding protein BruAb2_112	3.6.3.-
Putative ATP-dependent Clp protease proteolytic subuni	3.4.21.92
Putative ATP-dependent Clp protease proteolytic subunit, mitochondria	3.4.21.92
Putative ATP-dependent DNA helicase Q	3.6.4.12
Putative ATP-dependent DNA helicase R56	3.6.4.12
Putative ATP-dependent DNA helicase yjc	3.6.4.12
Putative ATP-dependent helicas	3.6.4.-
Putative ATP-dependent helicase hrq	3.6.4.-
Putative ATP-dependent helicase HRQ	3.6.4.-
Putative ATP-dependent helicase IRC	3.6.4.-
Putative ATP-dependent helicase yee	3.6.4.-
Putative ATP-dependent RNA helicas	3.6.4.13
Putative ATP-dependent RNA helicase an	3.6.4.13
Putative ATP-dependent RNA helicase C25D12.0	3.6.4.13
Putative ATP-dependent RNA helicase CG1444	3.6.4.13
Putative ATP-dependent RNA helicase D1133	3.6.4.13
Putative ATP-dependent RNA helicase DDX11-like protei	3.6.4.13
Putative ATP-dependent RNA helicase DHX3	3.6.4.13
Putative ATP-dependent RNA helicase DHX5	3.6.4.13
Putative ATP-dependent RNA helicase ECM3	3.6.4.13
Putative ATP-dependent RNA helicase L36	3.6.4.13
Putative ATP-dependent RNA helicase L37	3.6.4.13
Putative ATP-dependent RNA helicase L39	3.6.4.13
Putative ATP-dependent RNA helicase L53	3.6.4.13
Putative ATP-dependent RNA helicase L54	3.6.4.13
Putative ATP-dependent RNA helicase me31	3.6.4.13
Putative ATP-dependent RNA helicase mfh	3.6.4.13
Putative ATP-dependent RNA helicase MJ150	3.6.4.13
Putative ATP-dependent RNA helicase PB1A10.06	3.6.4.13
Putative ATP-dependent RNA helicase Pl1	3.6.4.13
Putative ATP-dependent RNA helicase Q706	3.6.4.13
Putative ATP-dependent RNA helicase QP509	3.6.4.13
Putative ATP-dependent RNA helicase R29	3.6.4.13
Putative ATP-dependent RNA helicase R35	3.6.4.13
Putative ATP-dependent RNA helicase R36	3.6.4.13
Putative ATP-dependent RNA helicase R45	3.6.4.13
Putative ATP-dependent RNA helicase R56	3.6.4.13
Putative ATP-dependent RNA helicase rha-	3.6.4.13
Putative ATP-dependent RNA helicase ste1	3.6.4.13
Putative ATP-dependent RNA helicase T26G10.	3.6.4.13
Putative ATP-dependent RNA helicase TDRD	3.6.4.13
Putative ATP-dependent RNA helicase ucp1	3.6.4.13
Putative ATP-dependent RNA helicase yfm	3.6.4.13
Putative ATP-dependent RNA helicase YLR419	3.6.4.13
Putative ATP-dependent RNA helicase ZK686.	3.6.4.13
Putative ATP:guanido phosphotransferase ABC012	2.7.3.-
Putative ATP:guanido phosphotransferase BA_0079/GBAA_0079/BAS008	2.7.3.-
Putative ATP:guanido phosphotransferase BAA_009	2.7.3.-
Putative ATP:guanido phosphotransferase BAMEG_009	2.7.3.-
Putative ATP:guanido phosphotransferase BBR47_0187	2.7.3.-
Putative ATP:guanido phosphotransferase BC_010	2.7.3.-
Putative ATP:guanido phosphotransferase BCA_010	2.7.3.-
Putative ATP:guanido phosphotransferase BCAH187_A011	2.7.3.-
Putative ATP:guanido phosphotransferase BCAH820_009	2.7.3.-
Putative ATP:guanido phosphotransferase BCB4264_A010	2.7.3.-
Putative ATP:guanido phosphotransferase BCE_008	2.7.3.-
Putative ATP:guanido phosphotransferase BCE33L007	2.7.3.-
Putative ATP:guanido phosphotransferase Bcer98_007	2.7.3.-
Putative ATP:guanido phosphotransferase BcerKBAB4_007	2.7.3.-
Putative ATP:guanido phosphotransferase BCG9842_B522	2.7.3.-
Putative ATP:guanido phosphotransferase BCQ_009	2.7.3.-
Putative ATP:guanido phosphotransferase BH010	2.7.3.-
Putative ATP:guanido phosphotransferase BLi00103/BL0326	2.7.3.-
Putative ATP:guanido phosphotransferase BPUM_007	2.7.3.-
Putative ATP:guanido phosphotransferase BT9727_007	2.7.3.-
Putative ATP:guanido phosphotransferase CA_C319	2.7.3.-
Putative ATP:guanido phosphotransferase CKL_019	2.7.3.-
Putative ATP:guanido phosphotransferase CKR_015	2.7.3.-
Putative ATP:guanido phosphotransferase CLL_A020	2.7.3.-
Putative ATP:guanido phosphotransferase CPE244	2.7.3.-
Putative ATP:guanido phosphotransferase CPF_275	2.7.3.-
Putative ATP:guanido phosphotransferase CPn_0701/CP_0045/CPj0701/CpB072	2.7.3.-
Putative ATP:guanido phosphotransferase CPR_243	2.7.3.-
Putative ATP:guanido phosphotransferase CT_67	2.7.3.-
Putative ATP:guanido phosphotransferase CTC_0263	2.7.3.-
Putative ATP:guanido phosphotransferase Dred_017	2.7.3.-
Putative ATP:guanido phosphotransferase EAT1b_166	2.7.3.-
Putative ATP:guanido phosphotransferase GK007	2.7.3.-
Putative ATP:guanido phosphotransferase GTNG_007	2.7.3.-
Putative ATP:guanido phosphotransferase GWCH70_008	2.7.3.-
Putative ATP:guanido phosphotransferase Hore_0086	2.7.3.-
Putative ATP:guanido phosphotransferase lin026	2.7.3.-
Putative ATP:guanido phosphotransferase Lm4b_0025	2.7.3.-
Putative ATP:guanido phosphotransferase LMHCC_240	2.7.3.-
Putative ATP:guanido phosphotransferase lmo023	2.7.3.-
Putative ATP:guanido phosphotransferase LMOf2365_024	2.7.3.-
Putative ATP:guanido phosphotransferase lwe019	2.7.3.-
Putative ATP:guanido phosphotransferase Moth_016	2.7.3.-
Putative ATP:guanido phosphotransferase MW047	2.7.3.-
Putative ATP:guanido phosphotransferase NT01CX_108	2.7.3.-
Putative ATP:guanido phosphotransferase OB009	2.7.3.-
Putative ATP:guanido phosphotransferase PTH_028	2.7.3.-
Putative ATP:guanido phosphotransferase RBAM_00110	2.7.3.-
Putative ATP:guanido phosphotransferase SA048	2.7.3.-
Putative ATP:guanido phosphotransferase SAB047	2.7.3.-
Putative ATP:guanido phosphotransferase SACOL056	2.7.3.-
Putative ATP:guanido phosphotransferase SAHV_052	2.7.3.-
Putative ATP:guanido phosphotransferase SAOUHSC_0050	2.7.3.-
Putative ATP:guanido phosphotransferase SAR052	2.7.3.-
Putative ATP:guanido phosphotransferase SAS048	2.7.3.-
Putative ATP:guanido phosphotransferase SAUSA300_050	2.7.3.-
Putative ATP:guanido phosphotransferase SAV052	2.7.3.-
Putative ATP:guanido phosphotransferase SE_028	2.7.3.-
Putative ATP:guanido phosphotransferase SERP016	2.7.3.-
Putative ATP:guanido phosphotransferase SH248	2.7.3.-
Putative ATP:guanido phosphotransferase SSP223	2.7.3.-
Putative ATP:guanido phosphotransferase STH313	2.7.3.-
Putative ATP:guanido phosphotransferase Swol_236	2.7.3.-
Putative ATP:guanido phosphotransferase TC_004	2.7.3.-
Putative ATP:guanido phosphotransferase TTE232	2.7.3.-
Putative ATP:guanido phosphotransferase yac	2.7.3.-
Putative ATP synthase protein YMF1	3.6.3.14
Putative beta-D-xylosidas	3.2.1.-
Putative beta-galactosidas	3.2.1.23
Putative beta-galactosidase 1	3.2.1.23
Putative beta-glucosidas	3.2.1.21
Putative beta-glucosidase 1	3.2.1.21
Putative beta-glucosidase 2	3.2.1.21
Putative beta-glucosidase	3.2.1.21
Putative beta-glucosidase 3	3.2.1.21
Putative beta-glucosidase 4	3.2.1.21
Putative beta-lactamase hcp	3.5.2.6
Putative beta-phosphoglucomutas	5.4.2.6
Putative beta-xylosidas	3.2.1.37
Putative bifunctional amine oxidase DDB_G029130	1.5.3.1
Putative bifunctional cytochrome c-type biogenesis protein CcmA	3.6.3.41
Putative bifunctional dihydrofolate reductase-thymidylate synthas	1.5.1.3
Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomeras	3.1.3.-
Putative bifunctional polymyxin resistance protein Arn	2.1.2.n1
Putative bifunctional polynucleotide kinase/RNA ligas	2.7.1.78
Putative bifunctional polynucleotide phosphatase/kinas	3.1.3.32
Putative biotin ligas	6.3.4.15
Putative branched-chain-amino-acid aminotransferas	2.6.1.42
Putative branched-chain-amino-acid aminotransferase TOX	2.6.1.42
Putative bromoperoxidas	3.1.1.2
Putative C-4 methylsterol oxidase DDB_G026978	1.14.13.72
Putative C-4 methylsterol oxidase DDB_G027094	1.14.13.72
Putative cadmium/zinc-transporting ATPase	3.6.3.3
Putative caffeoyl-CoA O-methyltransferase At1g6798	2.1.1.104
Putative calcium-transporting ATPase 11, plasma membrane-typ	3.6.3.8
Putative calcium-transporting ATPase 12, plasma membrane-typ	3.6.3.8
Putative calcium-transporting ATPase 13, plasma membrane-typ	3.6.3.8
Putative calcium-transporting ATPase 7, plasma membrane-typ	3.6.3.8
Putative callose synthase	2.4.1.34
Putative calpain-like cysteine protease	3.4.22.-
Putative carbonate dehydratase-like protein Rv128	4.2.1.-
Putative carbonic anhydras	4.2.1.1
Putative carbonic anhydrase	4.2.1.1
Putative carbonic anhydrase yti	4.2.1.1
Putative carbonic anhydrase yvd	4.2.1.1
Putative carboxymethylenebutenolidas	3.1.1.45
Putative carboxypeptidase RC054	3.4.16.-
Putative carboxypeptidase RP40	3.4.16.-
Putative carboxypeptidase SCO648	3.4.16.-
Putative carboxypeptidase slr153	3.4.16.-
Putative carboxypeptidase TP_068	3.4.16.-
Putative carboxypeptidase VC_A033	3.4.16.-
Putative carboxypeptidase yoc	3.4.16.-
Putative carboxypeptidase yod	3.4.-.-
Putative carboxypeptidase YOL153	3.4.17.-
Putative carboxyvinyl-carboxyphosphonate phosphorylmutas	2.7.8.23
Putative cardiolipin synthase ybh	2.7.8.-
Putative casein kinase I C03C10.	2.7.11.1
Putative caspase-14-like protei	3.4.22.-
Putative cathepsin L	3.4.22.15
Putative cathepsin-like enzym	3.4.22.-
Putative cation-transporting ATPas	3.6.3.-
Putative cation-transporting ATPase MJ122	3.6.3.-
Putative cation-transporting P-type ATPas	3.6.3.-
Putative CBL-interacting protein kinase 1	2.7.11.1
Putative CBL-interacting protein kinase 2	2.7.11.1
Putative CCR4-associated factor 1 homolog	3.1.13.4
Putative CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyl-transferas	2.7.8.5
Putative CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyl-transferase	2.7.8.5
Putative CDP-glycerol:glycerophosphate glycerophosphotransferas	2.7.8.-
Putative CDP-glycerol:glycerophosphate glycerophosphotransferase tar	2.7.8.-
Putative cell division protein kinase 1	2.7.11.22
Putative cellulose synthase	2.4.1.12
Putative cellulose synthase A catalytic subunit 11 [UDP-forming	2.4.1.12
Putative cellulose synthase-like protein D	2.4.1.-
Putative cellulose synthase-like protein H	2.4.1.-
Putative chalcone synthas	2.3.1.74
Putative chemotaxis protein-glutamate methylesteras	3.1.1.61
Putative choline kinas	2.7.1.32
Putative choline kinase B	2.7.1.32
Putative choline-phosphate cytidylyltransferas	2.7.7.15
Putative chromatin-remodeling complex ATPase chai	3.6.4.-
Putative cinnamyl alcohol dehydrogenase	1.1.1.195
Putative cis-zeatin O-glucosyltransferas	2.4.1.215
Putative citrate synthase	2.3.3.1
Putative CoA-transferase subunit alpha Rv3551/MT365	2.8.3.-
Putative CoA-transferase subunit beta Mb358	2.8.3.-
Putative CoA-transferase subunit beta Rv3552/MT365	2.8.3.-
Putative cobalt import ATP-binding protein Cbi	3.6.3.-
Putative cobalt-precorrin-6A synthase [deacetylating	2.1.1.-
Putative cob(II)yrinic acid a,c-diamide reductas	1.16.8.1
Putative colanic acid biosynthesis acetyltransferase wca	2.3.1.-
Putative colanic acid biosynthesis glycosyltransferase wca	2.4.-.-
Putative copper-transporting ATPase	3.6.3.4
Putative copper-transporting ATPase PAA	3.6.3.4
Putative CTD phosphatase-like protein 355	3.1.3.-
Putative C->U-editing enzyme APOBEC-	3.5.4.-
Putative cutinas	3.1.1.74
Putative cyclic-di-GMP phosphodiesterase Adr	3.1.4.52
Putative cyclic di-GMP phosphodiesterase Yli	3.1.4.52
Putative cyclin-dependent kinase F-	2.7.11.22
Putative cyclin-dependent serine/threonine-protein kinase DDB_G0272797/DDB_G027400	2.7.11.22
Putative cystathionine beta-lyas	4.4.1.8
Putative cystathionine beta-synthase Rv107	4.2.1.22
Putative cystathionine gamma-lyas	4.4.1.1
Putative cystathionine gamma-lyase	4.4.1.1
Putative cystathionine gamma-synthase YLL058	2.5.1.48
Putative cystathionine gamma-synthase YML082	2.5.1.48
Putative cysteine desulfurase iscS	2.8.1.7
Putative cysteine desulfurase nif	2.8.1.7
Putative cysteine protease yopT-like blr205	3.4.22.-
Putative cysteine protease yopT-like blr214	3.4.22.-
Putative cysteine protease yopT-like y4z	3.4.22.-
Putative cysteine protease yra	3.2.-.-
Putative cysteine protease ywp	3.4.22.-
Putative cysteine proteinase CG1216	3.4.22.-
Putative cysteine-rich receptor-like protein kinase 1	2.7.11.-
Putative cysteine-rich receptor-like protein kinase 2	2.7.11.-
Putative cysteine-rich receptor-like protein kinase 3	2.7.11.-
Putative cysteine-rich receptor-like protein kinase 4	2.7.11.-
Putative cysteine synthas	2.5.1.47
Putative cysteinyl-tRNA synthetase	6.1.1.16
Putative cytidine deaminas	3.5.4.5
Putative cytochrome c1 heme lyas	4.4.1.-
Putative cytochrome c heme lyas	4.4.1.17
Putative cytochrome c oxidase subunit 1-bet	1.9.3.1
Putative cytochrome c peroxidase, mitochondria	1.11.1.5
Putative cytochrome d ubiquinol oxidase subunit	1.10.3.-
Putative cytochrome d ubiquinol oxidase subunit 1-like protein yth	1.10.3.-
Putative cytochrome P450 12	1.14.-.-
Putative cytochrome P450 13	1.14.-.-
Putative cytochrome P450 133B	1.14.-.-
Putative cytochrome P450 135A	1.14.-.-
Putative cytochrome P450 135B	1.14.-.-
Putative cytochrome P450 14	1.14.-.-
Putative cytochrome P450 520B	1.14.-.-
Putative cytochrome P450 71A2	1.14.-.-
Putative cytochrome P450 cyp	1.14.-.-
Putative cytochrome P450 CYP13A1	1.14.-.-
Putative cytochrome P450 CYP13A	1.14.-.-
Putative cytochrome P450 cyp-13B	1.14.-.-
Putative cytochrome P450 yji	1.14.-.-
Putative cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG	3.2.2.n1
Putative cytosolic 5'-nucleotidase	3.1.3.5
Putative D-3-phosphoglycerate dehydrogenas	1.1.1.95
Putative D-alanine--D-lactate ligas	6.3.2.-
Putative D-amino-acid oxidase	1.4.3.-
Putative D-arabinono-1,4-lactone oxidas	1.1.3.37
Putative DBH-like monooxygenase protein	1.14.17.-
Putative DEAD-box ATP-dependent RNA helicase 2	3.6.4.13
Putative DEAD-box ATP-dependent RNA helicase 3	3.6.4.13
Putative DEAD-box ATP-dependent RNA helicase 4	3.6.4.13
Putative DEAD-box ATP-dependent RNA helicase 5	3.6.4.13
Putative DEAD-box RNA helicase HEL6	3.6.4.13
Putative DEAH-box ATP-dependent helicase UM1111	3.6.4.-
Putative dehydrodolichyl diphosphate synthas	2.5.1.-
Putative dehydrogenase/reductase SDR family member 4-like	1.1.-.-
Putative dehydrogenase xox	1.1.99.-
Putative Delta(7)-sterol-C5(6)-desaturase	1.14.21.6
Putative deoxynucleotide monophosphate kinas	2.7.4.13
Putative deoxyribonuclease-	3.1.-.-
Putative deoxyribonuclease TATDN1 homolo	3.1.21.-
Putative deoxyribonuclease tatdn	3.1.21.-
Putative deoxyribonuclease TATDN	3.1.21.-
Putative deoxyribonuclease tatdn3-	3.1.21.-
Putative deoxyribonucleoside 5'-monophosphate N-glycosidas	3.2.2.-
Putative deoxyribose-phosphate aldolas	4.1.2.4
Putative dethiobiotin synthetas	6.3.3.3
Putative D-hexose-6-phosphate mutarotas	5.1.3.15
Putative diacyglycerol O-acyltransferase Mb091	2.3.1.20
Putative diacyglycerol O-acyltransferase Mb230	2.3.1.20
Putative diacyglycerol O-acyltransferase Mb311	2.3.1.20
Putative diacyglycerol O-acyltransferase Mb3154	2.3.1.20
Putative diacyglycerol O-acyltransferase Mb3761	2.3.1.20
Putative diacyglycerol O-acyltransferase Rv0221/MT023	2.3.1.20
Putative diacyglycerol O-acyltransferase Rv0895/MT091	2.3.1.20
Putative diacyglycerol O-acyltransferase Rv1425/MT146	2.3.1.20
Putative diacyglycerol O-acyltransferase Rv1760/MT180	2.3.1.20
Putative diacyglycerol O-acyltransferase Rv2285/MT234	2.3.1.20
Putative diacyglycerol O-acyltransferase Rv2484c/MT255	2.3.1.20
Putative diacyglycerol O-acyltransferase Rv3087/MT317	2.3.1.20
Putative diacyglycerol O-acyltransferase Rv3371/MT348	2.3.1.20
Putative diacyglycerol O-acyltransferase Rv3480c/MT358	2.3.1.20
Putative diacyglycerol O-acyltransferase Rv3740c/MT384	2.3.1.20
Putative diacylglycerol kinase K06A1.	2.7.1.107
Putative diacylglycerol O-acyltransferase 2-like protein	2.3.1.-
Putative diaminopimelate epimerase, chloroplasti	5.1.1.7
Putative diaminopropionate ammonia-lyas	4.3.1.15
Putative diflavin flavoprotein A	1.-.-.-
Putative diguanylate cylase Yea	2.7.7.65
Putative dihydrodipicolinate reductase 3, chloroplasti	1.3.1.26
Putative dihydroflavonol-4-reductas	1.1.1.219
Putative dihydrofolate reductas	1.5.1.3
Putative dihydroorotas	3.5.2.3
Putative dihydroxy-acid dehydratase, mitochondria	4.2.1.9
Putative dimethylaniline monooxygenase [N-oxide-forming]	1.14.13.8
Putative dimethyl sulfoxide reductase chain ynf	1.8.99.-
