1.1.1.198	(+)-borneol:NAD+ oxidoreductase
2.5.1.71	dimethylallyl-diphosphate:leachianone-G 2''-dimethylallyltransferase
2.5.1.70	dimethylallyl-diphosphate:naringenin 8-dimethylallyltransferase
1.5.8.1	dimethylamine:electron-transferring flavoprotein oxidoreductase
2.1.1.3	dimethylsulfonioacetate:L-homocysteine S-methyltransferase
3.6.1.9	dinucleotide nucleotidohydrolase
3.6.1.1	diphosphate phosphohydrolase
2.7.1.90	diphosphate:D-fructose-6-phosphate 1-phosphotransferase
2.7.1.80	diphosphate:L-serine O-phosphotransferase
2.7.2.12	diphosphate:acetate phosphotransferase
2.7.1.79	diphosphate:glycerol 1-phosphotransferase
4.1.1.38	diphosphate:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)
3.6.1.52	diphospho-myo-inositol-polyphosphate diphosphohydrolase
2.3.3.4	dodecanoyl-CoA:2-oxoglutarate C-dodecanoyltransferase(thioester-hydrolysing, 1-carboxyundecyl-forming)
2.3.3.2	dodecanoyl-CoA:oxaloacetate C-dodecanoyltransferase(thioester-hydrolysing, 1-carboxyundecyl-forming)
3.1.2.21	dodecanoyl-[acyl-carrier protein] hydrolase
5.3.3.8	dodecenoyl-CoA (3Z)-(2E)-isomerase
2.4.2.33	dolichyl-D-xylosyl-phosphate:protein D-xylosyltransferase
3.1.4.48	dolichyl-beta-D-glucosyl-phosphate dolichylphosphohydrolase
3.1.4.49	dolichyl-beta-D-mannosyl-phosphate dolichylphosphohydrolase
3.6.1.43	dolichyl-diphosphate phosphohydrolase
2.7.4.20	dolichyl-diphosphate:polyphosphate phosphotransferase
2.4.1.119	dolichyl-diphosphooligosaccharide:protein-L-asparagineoligopolysaccharidotransferase
3.1.3.51	dolichyl-phosphate phosphohydrolase
2.4.1.130	dolichyl-phosphate-D-mannose:glycolipid alpha-D-mannosyltransferase
2.4.1.109	dolichyl-phosphate-D-mannose:protein O-D-mannosyltransferase
1.11.1.7	donor:hydrogen-peroxide oxidoreductase
1.14.99.22	ecdysone,hydrogen-donor:oxygen oxidoreductase (20-hydroxylating)
1.1.3.16	ecdysone:oxygen 3-oxidoreductase
1.5.5.1	electron-transferring-flavoprotein:ubiquinone oxidoreductase
4.2.3.19	ent-copalyl-diphosphate diphosphate-lyase (cyclizing,ent-kaurene-forming)
4.2.3.28	ent-copalyl-diphosphate diphosphate-lyase(ent-cassa-12,15-diene-forming)
4.2.3.32	ent-copalyl-diphosphate diphosphate-lyase[ent-abieta-8(14),12-diene-forming]
4.2.3.30	ent-copalyl-diphosphate diphosphate-lyase[ent-pimara-8(14),15-diene-forming]
4.2.3.31	ent-copalyl-diphosphate diphosphate-lyase[ent-pimara-9(11),15-diene-forming]
4.2.3.29	ent-copalyl-diphosphate diphosphate-lyase[ent-sandaracopimara-8(14),15-diene-forming]
5.5.1.13	ent-copalyl-diphosphate lyase (decyclizing)
1.14.13.79	ent-kaur-16-en-19-oate,NADPH:oxygen oxidoreductase (hydroxylating)
1.14.13.78	ent-kaur-16-ene,NADPH:oxygen oxidoreductase (hydroxylating)
3.3.2.10	epoxide hydrolase
1.3.1.71	ergosterol:NADP+ DELTA24(241)-oxidoreductase
4.3.1.20	erythro-3-hydroxy-Ls-aspartate ammonia-lyase (oxaloacetate-forming)
4.1.3.14	erythro-3-hydroxy-Ls-aspartate glyoxylate-lyase (glycine-forming)
4.1.2.2	erythrulose-1-phosphate formaldehyde-lyase(glycerone-phosphate-forming)
1.14.99.11	estradiol-17beta,hydrogen-donor:oxygen oxidoreductase(6beta-hydroxylating)
1.1.1.62	estradiol-17beta:NAD(P)+ 17-oxidoreductase
4.3.1.7	ethanolamine ammonia-lyase (acetaldehyde-forming)
4.2.3.2	ethanolamine-phosphate phosphate-lyase (deaminating;acetaldehyde-forming)
1.4.3.8	ethanolamine:oxygen oxidoreductase (deaminating)
1.1.1.279	ethyl-(R)-3-hydroxyhexanoate:NADP+ 3-oxidoreductase
1.1.1.280	ethyl-(S)-3-hydroxyhexanoate:NADP+ 3-oxidoreductase
1.17.99.2	ethylbenzene:acceptor oxidoreductase
2.5.1.21	farnesyl-diphosphate:farnesyl-diphosphate farnesyltransferase
2.5.1.58	farnesyl-diphosphate:protein-cysteine farnesyltransferase
2.3.1.142	fatty-acyl-CoA:mucus-glycoprotein fatty-acyltransferase
1.18.1.3	ferredoxin:NAD+ oxidoreductase
1.18.1.2	ferredoxin:NADP+ oxidoreductase
1.9.99.1	ferrocytochrome-c:Fe3+ oxidoreductase
1.11.1.5	ferrocytochrome-c:hydrogen-peroxide oxidoreductase
1.9.3.1	ferrocytochrome-c:oxygen oxidoreductase
1.9.6.1	ferrocytochrome:nitrate oxidoreductase
6.2.1.34	ferulate:CoASH ligase (ATP-hydrolysing)
2.3.1.130	feruloyl-CoA:galactarate O-(hydroxycinnamoyl)transferase
2.3.1.99	feruloyl-CoA:quinate O-(hydroxycinnamoyl)transferase
2.3.1.110	feruloyl-CoA:tyramine N-(hydroxycinnamoyl)transferase
1.3.1.77	flavan-3-ol:NAD(P)+ oxidoreductase
1.14.11.9	flavanone,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)
1.14.11.22	flavanone,2-oxoglutarate:oxygen oxidoreductase (dehydrating)
1.14.21.7	flaviolin,NADPH:oxygen oxidoreductase
1.14.13.21	flavonoid,NADPH:oxygen oxidoreductase (3'-hydroxylating)
1.1.1.256	fluoren-9-ol:NAD(P)+ oxidoreductase
2.2.1.8	fluoroacetaldehyde:L-threonine aldehydetransferase
1.2.1.69	fluoroacetaldehyde:NAD+ oxidoreductase
1.2.1.46	formaldehyde:NAD+ oxidoreductase
1.2.1.66	formaldehyde:NAD+ oxidoreductase (mycothiol-formylating)
1.2.2.B1 (preliminary BRENDA-supplied EC number)	formaldehyde:ferricytochrome b559/569 oxidoreductase
1.2.2.B2 (preliminary BRENDA-supplied EC number)	formaldehyde:ferricytochrome cL oxidoreductase
1.2.99.4	formaldehyde:formaldehyde oxidoreductase
3.5.1.49	formamide amidohydrolase
4.2.1.66	formamide hydro-lyase (cyanide-forming)
1.2.1.2	formate:NAD+ oxidoreductase
1.2.1.43	formate:NADP+ oxidoreductase
1.2.2.1	formate:ferricytochrome-b1 oxidoreductase
1.2.2.3	formate:ferricytochrome-c-553 oxidoreductase
6.3.4.3	formate:tetrahydrofolate ligase (ADP-forming)
1.14.13.53	formononetin,NADPH:oxygen oxidoreductase (2'-hydroxylating)
1.14.13.52	formononetin,NADPH:oxygen oxidoreductase (3'-hydroxylating)
3.1.2.10	formyl-CoA hydrolase
2.8.3.16	formyl-CoA:oxalate CoA-transferase
3.5.1.88	formyl-L-methionyl peptide amidohydrolase
2.3.1.101	formylmethanofuran:5,6,7,8-tetrahydromethanopterin 5-formyltransferase
3.2.2.26	futalosine ribohydrolase
3.2.1.145	galactan 3-beta-D-galactosidase
1.1.1.251	galactitol-1-phosphate:NAD+ oxidoreductase
1.1.1.16	galactitol:NAD+ 2-oxidoreductase
3.2.1.109	galactosaminoglycan glycanohydrolase
6.3.2.3	gamma-L-Glutamyl-L-cysteine:glycine ligase (ADP-forming)
3.5.1.78	gamma-L-Glutamyl-L-cysteinyl-glycine:spermidine amidase
6.3.1.8	gamma-L-Glutamyl-L-cysteinyl-glycine:spermidine ligase (ADP-forming)[spermidine is numbered so that atom N-1 is in the amino group of theaminopropyl part of the molecule]
6.3.2.23	gamma-L-glutamyl-L-cysteine:beta-alanine ligase (ADP-forming)
1.8.1.13	gamma-glutamylcysteine:NADP+ oxidoreductase
1.3.1.36	geissoschizine:NADP+ 4,21-oxidoreductase
1.13.11.4	gentisate:oxygen 1,2-oxidoreductase (decyclizing)
1.1.1.183	geraniol:NADP+ oxidoreductase
4.2.3.14	geranyl-diphosphate diphosphate-lyase (cyclizing, pinene-forming)
4.2.3.11	geranyl-diphosphate diphosphate-lyase (cyclizing,sabinene-hydrate-forming)
4.2.3.15	geranyl-diphosphate diphosphate-lyase (myrcene-forming)
4.2.3.26	geranyl-diphosphate diphosphate-lyase [(3R)-linalool-forming]
4.2.3.25	geranyl-diphosphate diphosphate-lyase [(3S)-linalool-forming]
4.2.3.20	geranyl-diphosphate diphosphate-lyase [cyclizing,(+)-(4R)-limonene-forming]
4.2.3.10	geranyl-diphosphate diphosphate-lyase [cyclizing,(-)-endo-fenchol-forming]
4.2.3.16	geranyl-diphosphate diphosphate-lyase [cyclizing;(-)-(4S)-limonene-forming]
3.1.7.5	geranyl-diphosphate diphosphohydrolase
2.5.1.68	geranyl-diphosphate:isopentenyl-diphosphate geranylcistransferase
2.5.1.10	geranyl-diphosphate:isopentenyl-diphosphate geranyltranstransferase
1.14.13.110	geranylgeraniol,NADPH:oxygen oxidoreductase (18-hydroxylating)
4.2.3.43	geranylgeranyl diphosphate-lyase (fusicocca-2,10(14)-diene-forming)
2.5.1.B1 (preliminary BRENDA-supplied EC number)	geranylgeranyl diphosphate:isopentenyl diphosphategeranylgeranyltransferase
2.5.1.42	geranylgeranyl diphosphate:sn-3-O-(geranylgeranyl)glycerol 1-phosphategeranylgeranyltransferase
2.5.1.41	geranylgeranyl diphosphate:sn-glyceryl phosphategeranylgeranyltransferase
4.2.3.8	geranylgeranyl-diphosphate diphosphate-lyase (cyclizing,casbene-forming)
4.2.3.17	geranylgeranyl-diphosphate diphosphate-lyase (cyclizing;taxa-4,11-diene-forming)
4.2.3.41	geranylgeranyl-diphosphate diphosphate-lyase (elisabethatriene-forming)
3.1.7.4	geranylgeranyl-diphosphate diphosphohydrolase (sclareol-forming)
1.3.1.83	geranylgeranyl-diphosphate:NADP+ oxidoreductase
2.5.1.32	geranylgeranyl-diphosphate:geranylgeranyl-diphosphategeranylgeranyltransferase
2.5.1.60	geranylgeranyl-diphosphate:protein-cysteine geranyltransferase
3.2.1.70	glucan 6-alpha-D-glucohydrolase
3.2.1.136	glucuronoarabinoxylan 4-beta-D-xylanohydrolase
3.4.17.B2 (preliminary BRENDA-supplied EC number)	glutamate carboxypeptidase IV
2.3.2.1	glutamine:D-glutamyl-peptide 5-glutamyltransferase
6.3.5.7	glutamyl-tRNAGln:L-glutamine amido-ligase (ADP-forming)
1.2.1.20	glutarate-semialdehyde:NAD+ oxidoreductase
1.3.99.7	glutaryl-CoA:acceptor 2,3-oxidoreductase (decarboxylating)
1.8.1.7	glutathione:NADP+ oxidoreductase
1.8.1.10	glutathione:NADP+ oxidoreductase (CoA-acylating)
1.8.4.4	glutathione:cystine oxidoreductase
1.8.5.1	glutathione:dehydroascorbate oxidoreductase
1.8.4.1	glutathione:homocystine oxidoreductase
1.11.1.9	glutathione:hydrogen-peroxide oxidoreductase
1.11.1.12	glutathione:lipid-hydroperoxide oxidoreductase
1.8.3.3	glutathione:oxygen oxidoreductase
2.3.2.15	glutathione:poly(4-glutamyl-cysteinyl)glycine4-glutamylcysteinyltransferase
1.8.4.2	glutathione:protein-disulfide oxidoreductase
1.20.4.1	glutharedoxin:arsenate oxidoreductase
1.20.4.2	gluthathione:methylarsonate oxidoreductase
2.5.1.66	glyceraldehyde-3-phosphate:L-arginine N2-(2-hydroxy-3-oxopropyl)transferase (2-carboxyethyl-forming)
4.2.1.30	glycerol hydro-lyase (3-hydroxypropanal-forming)
3.1.3.21	glycerol-1-phosphate phosphohydrolase
3.1.3.19	glycerol-2-phosphate phosphohydrolase
3.1.1.23	glycerol-ester acylhydrolase
1.1.1.6	glycerol:NAD+ 2-oxidoreductase
1.1.1.156	glycerol:NADP+ 2-oxidoreductase (glycerone-forming)
1.1.1.72	glycerol:NADP+ oxidoreductase
1.1.99.22	glycerol:acceptor 1-oxidoreductase
2.5.1.72	glycerone phosphate:iminosuccinate alkyltransferase (cyclizing)
4.2.3.3	glycerone-phosphate phosphate-lyase (methylglyoxal-forming)
3.1.4.46	glycerophosphodiester glycerophosphohydrolase
2.6.1.4	glycine:2-oxoglutarate aminotransferase
1.4.4.2	glycine:H-protein-lipoyllysine oxidoreductase (decarboxylating,acceptor-amino-methylating)
1.4.1.10	glycine:NAD+ oxidoreductase (deaminating)
1.4.99.5	glycine:acceptor oxidoreductase (hydrogen-cyanide-forming)
1.4.2.1	glycine:ferricytochrome-c oxidoreductase (deaminating)
2.6.1.35	glycine:oxaloacetate aminotransferase
1.4.3.19	glycine:oxygen oxidoreductase (deaminating)
6.1.1.14	glycine:tRNAGly ligase (AMP-forming)
4.2.2.15	glycoconjugate sialyl-lyase (2,7-cyclizing)
3.2.1.68	glycogen 6-alpha-D-glucanohydrolase
3.2.1.33	glycogen phosphorylase-limit dextrin 6-alpha-glucohydrolase
1.2.1.21	glycolaldehyde:NAD+ oxidoreductase
1.1.1.26	glycolate:NAD+ oxidoreductase
1.1.1.79	glycolate:NADP+ oxidoreductase
1.1.99.14	glycolate:acceptor 2-oxidoreductase
3.2.1.96	glycopeptide-D-mannosyl-N4-(N-acetyl-D-glucosaminyl)2-asparagine1,4-N-acetyl-beta-glucosaminohydrolase
3.2.1.130	glycoprotein glucosylmannohydrolase
3.1.4.45	glycoprotein-N-acetyl-D-glucosaminyl-phospho-D-mannoseN-acetyl-D-glucosaminylphosphohydrolase
3.1.4.50	glycoprotein-phosphatidylinositol phosphatidohydrolase
3.2.1.76	glycosaminoglycan alpha-L-iduronohydrolase
3.5.1.69	glycosphingolipid amidohydrolase
3.2.1.62	glycosyl-N-acylsphingosine glycohydrolase
3.2.1.128	glycyrrhizinate glucuronosylhydrolase
4.1.1.47	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)
1.2.1.17	glyoxylate:NADP+ oxidoreductase (CoA-oxalylating)
1.2.3.5	glyoxylate:oxygen oxidoreductase
3.5.3.2	guanidinoacetate amidinohydrolase
3.5.4.3	guanine aminohydrolase
3.5.4.15	guanosine aminohydrolase
3.1.7.2	guanosine-3',5'-bis(diphosphate) 3'-diphosphohydrolase
3.6.1.40	guanosine-5'-triphosphate,3'-diphosphate 5'-phosphohydrolase
2.4.2.15	guanosine:phosphate alpha-D-ribosyltransferase
5.5.1.16	halima-5(6),13-dien-15-yl-diphosphate lyase (cyclizing)
3.8.1.3	haloacetate halidohydrolase
1.14.99.3	heme,hydrogen-donor:oxygen oxidoreductase (alpha-methene-oxidizing,hydroxylating)
4.2.2.8	heparin-sulfate lyase
1.2.1.42	hexadecanal:NAD+ oxidoreductase (CoA-acylating)
1.3.1.27	hexadecanal:NADP+ DELTA2-oxidoreductase
1.11.1.3	hexadecanoate:hydrogen-peroxide oxidoreductase
1.1.1.164	hexadecanol:NAD+ oxidoreductase
1.4.3.22	histamine:oxygen oxidoreductase (deaminating)
3.5.1.98	histone amidohydrolase
3.1.4.14	holo-[acyl-carrier protein] 4'-pantetheine-phosphohydrolase
4.4.1.17	holocytochrome-c apocytochrome-c-lyase (heme-forming)
4.4.1.B1 (preliminary BRENDA-supplied EC number)	holocytochrome-c1 apocytochrome-c1-lyase
1.13.11.5	homogentisate:oxygen 1,2-oxidoreductase (decyclizing)
3.2.1.36	hyaluronate 3-glycanohydrolase
3.2.1.35	hyaluronate 4-glycanohydrolase
4.2.2.1	hyaluronate lyase
6.3.5.5	hydrogen-carbonate:L-glutamine amido-ligase (ADP-forming,carbamate-phosphorylating)
1.11.1.6	hydrogen-peroxide:hydrogen-peroxide oxidoreductase
1.8.1.2	hydrogen-sulfide:NADP+ oxidoreductase
1.8.99.1	hydrogen-sulfide:acceptor oxidoreductase
1.8.7.1	hydrogen-sulfide:ferredoxin oxidoreductase
1.12.98.3	hydrogen:2-(2,3-dihydropentaprenyloxy)phenazine oxidoreductase
1.12.98.2	hydrogen:5,10-methenyltetrahydromethanopterin oxidoreductase
1.12.1.2	hydrogen:NAD+ oxidoreductase
1.12.1.3	hydrogen:NADP+ oxidoreductase
1.12.99.6	hydrogen:acceptor oxidoreductase
1.12.98.1	hydrogen:coenzyme F420 oxidoreductase
1.12.7.2	hydrogen:ferredoxin oxidoreductase
1.12.2.1	hydrogen:ferricytochrome-c3 oxidoreductase
1.12.5.1	hydrogen:quinone oxidoreductase
6.6.1.2	hydrogenobyrinic-acid-a,c-diamide:cobalt cobalt-ligase (ADP-forming)
6.3.5.9	hydrogenobyrinic-acid:L-glutamine amido-ligase (AMP-forming)
1.7.1.5	hydroxylamine:NAD+ oxidoreductase
1.7.99.8	hydroxylamine:acceptor oxidoreductase
1.7.3.4	hydroxylamine:oxygen oxidoreductase
1.1.1.167	hydroxymalonate:NAD+ oxidoreductase
4.2.1.75	hydroxymethylbilane hydro-lyase (cyclizing;uroporphyrinogen-III-forming)
5.3.1.22	hydroxypyruvate aldose-ketose-isomerase
4.1.1.40	hydroxypyruvate carboxy-lyase (glycolaldehyde-forming)
1.8.1.3	hypotaurine:NAD+ oxidoreductase
6.3.4.8	imidazoleacetate:5-phosphoribosyl-diphosphate ligase (ADP- anddiphosphate-forming)
1.1.1.112	indan-1-ol:NAD(P)+ 1-oxidoreductase
1.13.11.17	indole:oxygen 2,3-oxidoreductase (decyclizing)
3.2.2.2	inosine ribohydrolase
1.7.1.7	inosine-5'-phosphate:NADP+ oxidoreductase (aminating)
1.11.1.8	iodide:hydrogen-peroxide oxidoreductase
1.11.1.B6 (preliminary BRENDA-supplied EC number)	iodide:hydrogen-peroxide oxidoreductase (vanadium-containing)
3.2.1.157	iota-carrageenan 4-beta-D-glycanohydrolase (configuration-inverting)
3.3.2.1	isochorismate pyruvate-hydrolase
2.2.1.9 (formerly a partial reaction of EC 2.5.1.64)	isochorismate:2-oxoglutarate 4-oxopentanoatetransferase(decarboxylating)
4.1.3.1	isocitrate glyoxylate-lyase (succinate-forming)
1.1.1.286 ()	isocitrate(homoisocitrate):NAD+ oxidoreductase (decarboxylating)
1.1.1.41	isocitrate:NAD+ oxidoreductase (decarboxylating)
1.1.1.42	isocitrate:NADP+ oxidoreductase (decarboxylating)
1.14.13.89	isoflavone,NADPH:oxygen oxidoreductase (2'-hydroxylating)
5.3.3.2	isopentenyl-diphosphate DELTA3-DELTA2-isomerase
1.17.1.2	isopentenyl-diphosphate:NAD(P)+ oxidoreductase
2.5.1.8	isopentenyl-diphosphate:tRNA isopentenyltransferase
5.3.3.11	isopiperitenone DELTA8-DELTA4-isomerase
3.1.1.83	isoprop(en)ylmethyloxepan-2-one lactonohydrolase
2.3.1.156	isovaleryl-CoA:malonyl-CoA acyltransferase
3.2.1.83	kappa-carrageenan 4-beta-D-glycanohydrolase (configuration-retaining)
3.2.1.103	keratan-sulfate 4-beta-D-galactanohydrolase
4.2.1.95	kievitone-hydrate hydro-lyase (kievitone-forming)
3.6.4.5	kinesin ATP phosphohydrolase (minus-end-directed)
3.6.4.4	kinesin ATP phosphohydrolase (plus-end-directed)
1.14.99.2	kynurenate,hydrogen-donor:oxygen oxidoreductase (hydroxylating)
1.1.1.283	lactaldehyde:NADP+ oxidoreductase
3.2.1.108	lactose galactohydrolase
4.2.1.54	lactoyl-CoA hydro-lyase (acryloyl-CoA-forming)
1.14.11.19	leucocyanidin,2-oxoglutarate:oxygen oxidoreductase
4.4.1.20	leukotriene-C4 glutathione-lyase (leukotriene-A4-forming)
1.14.13.107	limonene,NAD(P)H:oxygen oxidoreductase
3.1.1.36	limonoate-D-ring-lactone lactonohydrolase
5.3.3.B2 (preliminary BRENDA-supplied EC number)	linoleate DELTA9-cis-DELTA10-trans-isomerase
1.14.99.33	linoleate, hydrogen-donor:oxygen oxidoreductase (DELTA12-unsaturating)
1.13.11.45	linoleate:oxygen 11S-oxidoreductase
1.13.11.12	linoleate:oxygen 13-oxidoreductase
1.13.11.44	linoleate:oxygen 7S,8S-oxidoreductase
1.13.11.B1 (preliminary BRENDA-supplied EC number)	linoleate:oxygen 9,14 oxidoreductase
1.14.19.3	linoleoyl-CoA,hydrogen-donor:oxygen oxidoreductase
1.14.13.87	liquiritigenin,NADPH:oxygen oxidoreductase (licodione-forming)
1.14.13.94	lithocholate,NADPH:oxygen oxidoreductase (6beta-hydroxylating)
1.3.3.9	loganin:oxygen oxidoreductase (ring-cleaving)
4.2.1.74	long-chain-(3S)-3-hydroxyacyl-CoA hydro-lyase
1.1.1.211	long-chain-(S)-3-hydroxyacyl-CoA:NAD+ oxidoreductase
1.3.99.13	long-chain-acyl-CoA:acceptor 2,3-oxidoreductase
1.1.1.192	long-chain-alcohol:NAD+ oxidoreductase
1.1.3.20	long-chain-alcohol:oxygen oxidoreductase
1.2.1.48	long-chain-aldehyde:NAD+ oxidoreductase
1.2.1.50	long-chain-aldehyde:NADP+ oxidoreductase (acyl-CoA-forming)
6.2.1.20	long-chain-fatty-acid:[acyl-carrier protein] ligase (AMP-forming)
3.1.1.67	long-chain-fatty-acyl-ethyl-ester acylhydrolase
1.17.5.B1 (preliminary BRENDA-supplied EC number)	lupanine:quinone oxidoreductase
5.4.99.B3 (preliminary BRENDA-supplied EC number)	lupeol synthase
1.14.13.81	magnesium-protoporphyrin-IX 13-monomethyl ester,NADPH:oxygenoxidoreductase (hydroxylating)
4.1.1.89	malonate carboxy-lyase (biotin-dependent)
4.1.1.88	malonate carboxy-lyase (biotin-independent)
4.1.1.9	malonyl-CoA carboxy-lyase (acetyl-CoA-forming)
2.3.1.114	malonyl-CoA:3,4-dichloroaniline N-malonyltransferase
2.3.1.95	malonyl-CoA:4-coumaroyl-CoA malonyltransferase (cyclizing)
2.3.1.170	malonyl-CoA:4-coumaroyl-CoA malonyltransferase (cyclizing, reducing)
2.3.1.112	malonyl-CoA:D-tryptophan N-malonyltransferase
2.3.1.159	malonyl-CoA:N-methylanthraniloyl-CoA malonyltransferase (cyclizing)
2.3.1.39	malonyl-CoA:[acyl-carrier protein] S-malonyltransferase
2.3.1.171	malonyl-CoA:anthocyanidin-3-O-beta-D-glucoside 6''-O-malonyltransferase
2.3.1.113	malonyl-CoA:anthranilate N-malonyltransferase
2.3.1.177	malonyl-CoA:benzoyl-CoA malonyltransferase
2.3.1.146	malonyl-CoA:cinnamoyl-CoA malonyltransferase (cyclizing)
2.3.1.116	malonyl-CoA:flavonol-3-O-beta-D-glucoside 6''-O-malonyltransferase
2.3.1.115	malonyl-CoA:isoflavone-7-O-beta-D-glucoside 6''-O-malonyltransferase
2.3.1.172	malonyl-CoA:pelargonidin-3-O-(6-caffeoyl-beta-D-glucoside)-5-O-beta-Dglucoside 6'''-O-malonyltransferase
2.1.3.10	malonyl-[acyl-carrier protein]:biotinyl-[protein] carboxytransferase
4.1.1.87	malonyl-[acyl-carrier-protein] carboxy-lyase
5.1.3.21	maltose 1-epimerase
5.4.99.16	maltose alpha-D-glucosylmutase
3.2.1.122	maltose-6'-phosphate 6-phosphoglucohydrolase
2.4.1.8	maltose:phosphate 1-beta-D-glucosyltransferase
3.5.1.86	mandelamide hydrolase
5.1.2.2	mandelate racemase
4.1.2.10	mandelonitrile benzaldehyde-lyase (cyanide-forming)
1.1.1.255	mannitol:NAD+ 1-oxidoreductase
1.1.3.40	mannitol:oxygen oxidoreductase (cyclizing)
3.2.1.106	mannosyl-oligosaccharide glucohydrolase
1.1.1.246	medicarpin:NADP+ 2'-oxidoreductase
2.7.8.21	membrane-derived-oligosaccharide-6-(glycerophospho)-D-glucose:membranederived-oligosaccharide-D-glucose glycerophosphotransferase
1.1.1.296	menth-8-en-2-ol:NAD+ oxidoreductase
1.1.1.297	menth-8-ene-1,2-diol:NAD+ oxidoreductase
4.1.1.20	meso-2,6-diaminoheptanedioate carboxy-lyase (L-lysine-forming)
1.4.1.16	meso-2,6-diaminoheptanedioate:NADP+ oxidoreductase (deaminating)
1.3.1.7	meso-tartrate:NAD+ oxidoreductase
1.14.13.25	methane,NAD(P)H:oxygen oxidoreductase (hydroxylating)
1.14.13.B4 (preliminary BRENDA-supplied EC number)	methanesulfonate,NADH:oxygen oxidoreductase (bisulfite-forming)
1.8.3.4	methanethiol:oxygen oxidoreductase
2.1.1.90	methanol:5-hydroxybenzimidazolylcobamide Co-methyltransferase
1.1.1.244	methanol:NAD+ oxidoreductase
1.1.2.B3 (preliminary BRENDA-supplied EC number)	methanol:ferricytochrome c550 oxidoreductase
1.1.2.B2 (preliminary BRENDA-supplied EC number)	methanol:ferricytochrome c551i oxidoreductase
1.1.2.B1 (preliminary BRENDA-supplied EC number)	methanol:ferricytochrome cL oxidoreductase
2.1.1.21	methylamine:L-glutamate N-methyltransferase
3.5.3.21	methylenediurea aminohydrolase
3.5.3.16	methylguanidine amidinohydrolase
5.3.3.6	methylitaconate DELTA2-DELTA3-isomerase
5.1.99.1	methylmalonyl-CoA 2-epimerase
3.5.1.61	mimosine amidohydrolase
2.3.1.134	mono-beta-D-galactosyldiacylglycerol:mono-beta-Dgalactosyldiacylglycerol acyltransferase
1.14.18.1	monophenol,L-dopa:oxygen oxidoreductase
3.1.7.3	monoterpenyl-diphosphate diphosphohydrolase
1.1.1.218	morphine:NAD(P)+ 6-oxidoreductase
1.14.11.25	mugineic acid,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)
1.8.1.15	mycothiol:NAD(P)+ oxidoreductase
1.13.99.1	myo-Inositol:oxygen oxidoreductase
3.1.3.8	myo-inositol-hexakisphosphate 3-phosphohydrolase
3.1.3.26	myo-inositol-hexakisphosphate 4-phosphohydrolase
3.1.3.72	myo-inositol-hexakisphosphate 5-phosphohydrolase
3.1.3.25	myo-inositol-phosphate phosphohydrolase
1.1.1.18	myo-inositol:NAD+ 2-oxidoreductase
1.1.5.B1 (preliminary BRENDA-supplied EC number)	myo-inositol:quinone 2-oxidoreductase
2.3.1.155	myristoyl-CoA:acetyl-CoA C-myristoyltransferase
1.3.1.74	n-alkanal:NAD(P)+ 2-oxidoreductase
1.14.99.31	n-tetradecanoyl-CoA,NAD(P)H:O2 oxidoreductase [11-(E) desaturating]
1.14.99.32	n-tetradecanoyl-CoA,NAD(P)H:O2 oxidoreductase [11-(Z) desaturating]
1.14.12.12	naphthalene,NADH:oxygen oxidoreductase (1,2-hydroxylating)
2.6.1.80	nicotianamine:2-oxoglutarate aminotransferase
3.5.1.19	nicotinamide amidohydrolase
3.5.1.42	nicotinamide-D-ribonucleotide amidohydrolase
2.4.2.12	nicotinamide-D-ribonucleotide:diphosphatephospho-alpha-D-ribosyltransferase
3.2.2.14	nicotinamide-nucleotide phosphoribohydrolase
2.4.2.11	nicotinate-D-ribonucleotide:diphosphatephospho-alpha-D-ribosyltransferase
2.4.2.19	nicotinate-D-ribonucleotide:diphosphatephospho-alpha-D-ribosyltransferase (carboxylating)
2.4.2.21	nicotinate-nucleotide:5,6-dimethylbenzimidazolephospho-D-ribosyltransferase
1.17.1.5	nicotinate:NADP+ 6-oxidoreductase (hydroxylating)
1.14.13.B3 (preliminary BRENDA-supplied EC number)	nicotine,NADPH:oxygen oxidoreductase (demethylating)
1.5.99.4	nicotine:acceptor 6-oxidoreductase (hydroxylating)
1.14.12.17	nitric oxide,NAD(P)H:oxygen oxidoreductase
1.7.2.1	nitric-oxide:ferricytochrome-c oxidoreductase
3.5.5.1	nitrile aminohydrolase
1.7.1.2	nitrite:NAD(P)+ oxidoreductase
1.7.1.1	nitrite:NAD+ oxidoreductase
1.7.1.3	nitrite:NADP+ oxidoreductase
1.7.99.4	nitrite:acceptor oxidoreductase
1.7.7.2	nitrite:ferredoxin oxidoreductase
1.7.3.1	nitroalkane:oxygen oxidoreductase
1.7.99.6	nitrogen:acceptor oxidoreductase (N2O-forming)
1.7.99.7	nitrous-oxide:acceptor oxidoreductase (NO-forming)
3.7.1.7	nonane-4,6-dione acylhydrolase
3.1.4.37	nucleoside-2',3'-cyclic-phosphate 2'-nucleotidohydrolase
3.1.4.16	nucleoside-2',3'-cyclic-phosphate 3'-nucleotidohydrolase
3.6.1.24	nucleoside-5'-phosphoacylate acylhydrolase
