1.14.13.93	(+)-abscisic acid 8'-hydroxylase
3.1.7.3	monoterpenyl-diphosphatase
1.1.1.218	morphine 6-dehydrogenase
3.4.23.B18 (preliminary BRENDA-supplied EC number)	mouse mammary tumor virus retropepsin
5.3.3.4	muconolactone DELTA-isomerase
3.4.24.54	mucrolysin
1.14.11.25	mugineic-acid 3-dioxygenase
5.4.99.B2 (preliminary BRENDA-suppliled EC number)	multifunctional triterpene synthase
3.1.3.62	multiple inositol-polyphosphate phosphatase
3.4.17.8	muramoylpentapeptide carboxypeptidase
3.4.23.B5 (preliminary BRENDA-supplied EC number)	murine leukemia virus protease
2.3.1.111	mycocerosate synthase
3.2.1.61	mycodextranase
3.4.24.31	mycolysin
1.2.1.66	mycothiol-dependent formaldehyde dehydrogenase
1.8.1.15	mycothione reductase
3.6.4.1	myosin ATPase
2.7.11.7	myosin-heavy-chain kinase
2.7.11.18	myosin-light-chain kinase
4.2.3.15	myrcene synthase
2.1.1.149	myricetin O-methyltransferase
1.14.99.31	myristoyl-CoA 11-(E) desaturase
1.14.99.32	myristoyl-CoA 11-(Z) desaturase
1.14.12.12	naphthalene 1,2-dioxygenase
4.1.3.36	naphthoate synthase
3.4.23.B1 (preliminary BRENDA-supplied EC number)	napsin
3.4.24.61	nardilysin
2.5.1.70	naringenin 8-dimethylallyltransferase
2.3.1.74	naringenin-chalcone synthase
2.4.99.10	neolactotetraosylceramide alpha-2,3-sialyltransferase
3.2.1.135	neopullulanase
5.3.99.9	neoxanthin synthase
3.4.23.12	nepenthesin
3.4.24.11	neprilysin
3.4.24.B14 (preliminary BRENDA-supplied EC number)	neprilysin-2
3.4.24.16	neurolysin
3.4.21.B10 (preliminary BRENDA-supplied EC number)	neurosin
3.4.24.34	neutrophil collagenase
3.6.3.24	nickel-transporting ATPase
2.6.1.80	nicotianamine aminotransferase
2.5.1.43	nicotianamine synthase
3.5.1.19	nicotinamidase
2.1.1.1	nicotinamide N-methyltransferase
2.4.2.12	nicotinamide phosphoribosyltransferase
2.7.7.1	nicotinamide-nucleotide adenylyltransferase
3.5.1.42	nicotinamide-nucleotide amidase
2.1.1.7	nicotinate N-methyltransferase
1.17.1.5	nicotinate dehydrogenase
2.4.1.196	nicotinate glucosyltransferase
2.4.2.11	nicotinate phosphoribosyltransferase
2.7.7.18	nicotinate-nucleotide adenylyltransferase
2.4.2.19	nicotinate-nucleotide diphosphorylase (carboxylating)
2.4.2.21	nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase
1.5.99.4	nicotine dehydrogenase
1.14.13.B3 (preliminary BRENDA-supplied EC number)	nicotine demethylase
1.7.99.4	nitrate reductase
1.7.1.1	nitrate reductase (NADH)
1.7.1.3	nitrate reductase (NADPH)
1.9.6.1	nitrate reductase (cytochrome)
3.6.3.26	nitrate-transporting ATPase
1.14.12.17	nitric oxide dioxygenase
1.7.99.7	nitric-oxide reductase
1.14.13.39	nitric-oxide synthase
3.5.5.1	nitrilase
4.2.1.84	nitrile hydratase
1.7.2.1	nitrite reductase (NO-forming)
1.7.2.2	nitrite reductase (cytochrome; ammonia-forming)
1.7.1.4	nitrite reductase [NAD(P)H]
1.7.3.1	nitroalkane oxidase
1.18.6.1	nitrogenase
1.19.6.1	nitrogenase (flavodoxin)
1.7.1.9	nitroquinoline-N-oxide reductase
1.7.99.6	nitrous-oxide reductase
3.4.23.44	nodavirus endopeptidase
3.6.4.10	non-chaperonin molecular chaperone ATPase
1.5.3.B2 (preliminary BRENDA-supplied EC number)	non-specific polyamine oxidase
2.7.10.2	non-specific protein-tyrosine kinase
2.7.11.1	non-specific serine/threonine protein kinase
3.4.13.17	non-stereospecific dipeptidase
3.6.3.22	nonpolar-amino-acid-transporting ATPase
2.4.1.192	nuatigenin 3beta-glucosyltransferase
3.4.22.44	nuclear-inclusion-a endopeptidase
3.6.4.11	nucleoplasmin ATPase
2.4.2.6	nucleoside deoxyribosyltransferase
1.1.3.28	nucleoside oxidase
1.1.3.39	nucleoside oxidase (H2O2-forming)
3.6.1.24	nucleoside phosphoacylhydrolase
2.7.1.77	nucleoside phosphotransferase
2.4.2.5	nucleoside ribosyltransferase
3.6.1.6	nucleoside-diphosphatase
2.7.4.6	nucleoside-diphosphate kinase
2.7.4.4	nucleoside-phosphate kinase
3.6.1.15	nucleoside-triphosphatase
3.6.1.19	nucleoside-triphosphate diphosphatase
2.7.4.10	nucleoside-triphosphate-adenylate kinase
2.7.7.28	nucleoside-triphosphate-aldose-1-phosphate nucleotidyltransferase
3.1.3.31	nucleotidase
3.6.1.9	nucleotide diphosphatase
2.7.6.4	nucleotide diphosphokinase
4.1.1.46	o-Pyrocatechuate decarboxylase
1.10.3.4	o-aminophenol oxidase
2.4.1.104	o-dihydroxycoumarin 7-O-glucosyltransferase
4.2.1.113 ()	o-succinylbenzoate synthase
4.1.99.5	octadecanal decarbonylase
1.1.1.73	octanol dehydrogenase
4.2.1.87	octopamine dehydratase
3.1.2.14	oleoyl-[acyl-carrier-protein] hydrolase
3.2.1.10	oligo-1,6-glucosidase
3.4.24.B2 (preliminary BRENDA-supplied EC number)	oligoendopeptidase F
4.2.2.6	oligogalacturonide lyase
3.1.13.3	oligonucleotidase
3.4.24.70	oligopeptidase A
3.6.3.23	oligopeptide-transporting ATPase
2.4.1.161	oligosaccharide 4-alpha-D-glucosyltransferase
3.2.1.156	oligosaccharide reducing-end xylanase
3.6.1.44	oligosaccharide-diphosphodolichol diphosphatase
3.6.3.18	oligosaccharide-transporting ATPase
3.2.1.120	oligoxyloglucan beta-glycosidase
3.2.1.150	oligoxyloglucan reducing-end-specific cellobiohydrolase
3.5.1.3	omega-amidase
1.1.1.66	omega-hydroxydecanoate dehydrogenase
3.4.23.49	omptin
2.7.3.7	opheline kinase
3.4.24.51	ophiolysin
1.14.13.6	orcinol 2-monooxygenase
2.3.1.127	ornithine N-benzoyltransferase
2.6.1.13	ornithine aminotransferase
2.1.3.3	ornithine carbamoyltransferase
4.3.1.12	ornithine cyclodeaminase
2.6.1.68	ornithine(lysine) transaminase
2.4.2.10	orotate phosphoribosyltransferase
1.3.1.14	orotate reductase (NADH)
1.3.1.15	orotate reductase (NADPH)
3.1.1.40	orsellinate-depside hydrolase
3.4.21.120	oviductin
2.8.3.2	oxalate CoA-transferase
1.2.3.4	oxalate oxidase
3.7.1.1	oxaloacetase
5.3.2.2	oxaloacetate tautomerase
1.1.1.92	oxaloglycolate reductase (decarboxylating)
2.1.3.5	oxamate carbamoyltransferase
2.6.3.1	oximinotransferase
1.2.1.52	oxoglutarate dehydrogenase (NADP+)
1.2.4.2	oxoglutarate dehydrogenase (succinyl-transferring)
1.6.5.6	p-benzoquinone reductase (NADPH)
3.1.2.2	palmitoyl-CoA hydrolase
3.1.2.22	palmitoyl[protein] hydrolase
3.4.21.36	pancreatic elastase
3.1.27.5	pancreatic ribonuclease
3.5.1.92	pantetheine hydrolase
2.7.1.34	pantetheine kinase
2.7.7.3	pantetheine-phosphate adenylyltransferase
1.1.1.106	pantoate 4-dehydrogenase
3.5.1.22	pantothenase
2.7.1.33	pantothenate kinase
4.1.1.30	pantothenoylcysteine decarboxylase
3.4.22.2	papain
3.4.22.B14 (preliminary BRENDA-supplied EC number)	papain-like proteinase 1
3.4.22.B50 (preliminary BRENDA-supplied EC number)	papain-like proteinase 2
3.4.24.79	pappalysin-1
4.2.2.9	pectate disaccharide-lyase
4.2.2.2	pectate lyase
4.2.2.22 ()	pectate trisaccharide-lyase
4.2.2.10	pectin lyase
3.1.1.11	pectinesterase
3.5.1.11	penicillin amidase
1.14.13.50	pentachlorophenol monooxygenase
4.2.3.7	pentalenene synthase
3.5.1.50	pentanamidase
3.4.23.1	pepsin A
3.4.23.2	pepsin B
3.4.22.65 ()	peptidase 1 (mite)
3.4.21.107	peptidase Do
3.4.21.64	peptidase K
2.3.1.88	peptide alpha-N-acetyltransferase
3.5.1.88	peptide deformylase
3.5.1.52	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase
2.4.1.221	peptide-O-fucosyltransferase
1.14.11.16	peptide-aspartate beta-dioxygenase
1.8.4.12	peptide-methionine (R)-S-oxide reductase
1.8.4.11	peptide-methionine (S)-S-oxide reductase
3.6.3.43	peptide-transporting ATPase
1.13.11.26	peptide-tryptophan 2,3-dioxygenase
3.2.1.92	peptidoglycan beta-N-acetylmuramidase
2.4.1.129	peptidoglycan glycosyltransferase
3.5.1.B3 (preliminary BRENDA-supplied EC number)	peptidoglycan-N-acetylglucosamine deacetylase
3.4.24.33	peptidyl-Asp metalloendopeptidase
3.4.24.20	peptidyl-Lys metalloendopeptidase
3.4.15.1	peptidyl-dipeptidase A
3.5.1.43	peptidyl-glutaminase
3.4.19.2	peptidyl-glycinamidase
4.3.2.5	peptidylamidoglycolate lyase
1.14.17.3	peptidylglycine monooxygenase
2.3.2.12	peptidyltransferase
1.1.1.144	perillyl-alcohol dehydrogenase
1.11.1.7	peroxidase
1.11.1.15	peroxiredoxin
3.6.4.7	peroxisome-assembly ATPase
3.4.21.113	pestivirus NS3 polyprotein peptidase
2.8.2.31	petromyzonol sulfotransferase
4.2.1.97	phaseollidin hydratase
1.14.13.7	phenol 2-monooxygenase
2.1.1.25	phenol O-methyltransferase
2.4.1.35	phenol beta-glucosyltransferase
1.2.1.39	phenylacetaldehyde dehydrogenase
4.99.1.7	phenylacetaldoxime dehydratase
6.2.1.30	phenylacetate-CoA ligase
1.14.13.92	phenylacetone monooxygenase
1.17.5.1	phenylacetyl-CoA dehydrogenase
3.1.2.25	phenylacetyl-CoA hydrolase
1.13.12.9	phenylalanine 2-monooxygenase
1.14.16.1	phenylalanine 4-monooxygenase
2.3.1.53	phenylalanine N-acetyltransferase
2.7.7.54	phenylalanine adenylyltransferase
4.3.1.24	phenylalanine ammonia-lyase
1.4.1.20	phenylalanine dehydrogenase
2.6.1.58	phenylalanine(histidine) transaminase
4.3.1.25	phenylalanine/tyrosine ammonia-lyase
2.1.1.28	phenylethanolamine N-methyltransferase
1.2.1.58	phenylglyoxylate dehydrogenase (acylating)
3.1.1.82	pheophorbidase
1.14.12.20	pheophorbide a oxygenase
3.7.1.4	phloretin hydrolase
1.3.1.57	phloroglucinol reductase
2.3.1.156	phloroisovalerophenone synthase
3.1.1.51	phorbol-diester hydrolase
2.3.1.8	phosphate acetyltransferase
2.3.1.19	phosphate butyryltransferase
3.6.3.27	phosphate-transporting ATPase
2.7.7.41	phosphatidate cytidylyltransferase
3.1.3.4	phosphatidate phosphatase
2.1.1.71	phosphatidyl-N-methylethanolamine N-methyltransferase
1.14.13.26	phosphatidylcholine 12-monooxygenase
1.3.1.35	phosphatidylcholine desaturase
2.7.8.24	phosphatidylcholine synthase
2.3.1.83	phosphatidylcholine-dolichol O-acyltransferase
2.3.1.135	phosphatidylcholine-retinol O-acyltransferase
2.3.1.43	phosphatidylcholine-sterol O-acyltransferase
2.1.1.17	phosphatidylethanolamine N-methyltransferase
2.7.8.20	phosphatidylglycerol-membrane-oligosaccharide glycerophosphotransferase
3.1.3.27	phosphatidylglycerophosphatase
2.7.1.137	phosphatidylinositol 3-kinase
2.4.1.198	phosphatidylinositol N-acetylglucosaminyltransferase
2.4.1.57	phosphatidylinositol alpha-mannosyltransferase
3.1.1.52	phosphatidylinositol deacylase
4.6.1.13	phosphatidylinositol diacylglycerol-lyase
3.1.3.67	phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase
3.1.3.66	phosphatidylinositol-3,4-bisphosphate 4-phosphatase
3.1.3.64	phosphatidylinositol-3-phosphatase
2.7.1.153	phosphatidylinositol-4,5-bisphosphate 3-kinase
3.1.3.78 ()	phosphatidylinositol-4,5-bisphosphate 4-phosphatase
2.7.1.154	phosphatidylinositol-4-phosphate 3-kinase
3.1.3.B4 (preliminary BRENDA-supplied EC number)	phosphatidylinositol-4-phosphate phosphatase
4.1.1.65	phosphatidylserine decarboxylase
2.3.1.183	phosphinothricin acetyltransferase
2.7.8.13	phospho-N-acetylmuramoyl-pentapeptide-transferase
5.4.2.3	phosphoacetylglucosamine mutase
1.8.4.8	phosphoadenylyl-sulfate reductase (thioredoxin)
3.6.2.2	phosphoadenylylsulfatase
3.9.1.1	phosphoamidase
3.1.4.1	phosphodiesterase I
4.1.1.49	phosphoenolpyruvate carboxykinase (ATP)
4.1.1.32	phosphoenolpyruvate carboxykinase (GTP)
4.1.1.38	phosphoenolpyruvate carboxykinase (diphosphate)
4.1.1.31	phosphoenolpyruvate carboxylase
5.4.2.9	phosphoenolpyruvate mutase
3.1.3.60	phosphoenolpyruvate phosphatase
2.7.1.121	phosphoenolpyruvate-glycerone phosphotransferase
2.7.3.9	phosphoenolpyruvate-protein phosphotransferase
2.1.1.103	phosphoethanolamine N-methyltransferase
3.1.3.75	phosphoethanolamine/phosphocholine phosphatase
2.7.9.5	phosphoglucan, water dikinase
2.7.1.10	phosphoglucokinase
5.4.2.2	phosphoglucomutase
5.4.2.5	phosphoglucomutase (glucose-cofactor)
1.1.1.43	phosphogluconate 2-dehydrogenase
4.2.1.12	phosphogluconate dehydratase
1.1.1.44	phosphogluconate dehydrogenase (decarboxylating)
5.4.2.10	phosphoglucosamine mutase
1.1.1.95	phosphoglycerate dehydrogenase
2.7.2.3	phosphoglycerate kinase
2.7.2.10	phosphoglycerate kinase (GTP)
5.4.2.1	phosphoglycerate mutase
3.1.3.20	phosphoglycerate phosphatase
2.5.1.41	phosphoglycerol geranylgeranyltransferase
3.1.3.18	phosphoglycolate phosphatase
3.1.3.36	phosphoinositide 5-phosphatase
3.1.4.11	phosphoinositide phospholipase C
3.1.1.32	phospholipase A1
3.1.1.4	phospholipase A2
3.1.4.3	phospholipase C
3.1.4.4	phospholipase D
1.11.1.12	phospholipid-hydroperoxide glutathione peroxidase
3.6.3.1	phospholipid-translocating ATPase
2.3.1.158	phospholipid:diacylglycerol acyltransferase
2.7.8.9	phosphomannan mannosephosphotransferase
5.4.2.8	phosphomannomutase
2.7.4.7	phosphomethylpyrimidine kinase
2.7.4.2	phosphomevalonate kinase
1.20.1.1	phosphonate dehydrogenase
3.6.3.28	phosphonate-transporting ATPase
3.11.1.1	phosphonoacetaldehyde hydrolase
3.11.1.2	phosphonoacetate hydrolase
4.1.1.82	phosphonopyruvate decarboxylase
3.11.1.3	phosphonopyruvate hydrolase
6.3.2.5	phosphopantothenate-cysteine ligase
4.1.1.36	phosphopantothenoylcysteine decarboxylase
5.4.2.7	phosphopentomutase
2.4.1.78	phosphopolyprenol glucosyltransferase
3.1.3.16	phosphoprotein phosphatase
4.2.1.11	phosphopyruvate hydratase
2.7.1.62	phosphoramidate-hexose phosphotransferase
2.7.1.18	phosphoribokinase
3.5.4.19	phosphoribosyl-AMP cyclohydrolase
3.6.1.31	phosphoribosyl-ATP diphosphatase
6.3.4.13	phosphoribosylamine-glycine ligase
4.1.1.21	phosphoribosylaminoimidazole carboxylase
2.1.2.3	phosphoribosylaminoimidazolecarboxamide formyltransferase
6.3.2.6	phosphoribosylaminoimidazolesuccinocarboxamide synthase
5.3.1.24	phosphoribosylanthranilate isomerase
6.3.3.1	phosphoribosylformylglycinamidine cyclo-ligase
6.3.5.3	phosphoribosylformylglycinamidine synthase
2.1.2.2	phosphoribosylglycinamide formyltransferase
2.7.1.19	phosphoribulokinase
2.4.1.1	phosphorylase
2.7.11.19	phosphorylase kinase
3.1.3.3	phosphoserine phosphatase
2.6.1.52	phosphoserine transaminase
4.4.1.19	phosphosulfolactate synthase
1.3.1.64	phthalate 4,5-cis-dihydrodiol dehydrogenase
1.14.12.7	phthalate 4,5-dioxygenase
1.3.7.5	phycocyanobilin:ferredoxin oxidoreductase
1.3.7.6	phycoerythrobilin synthase
1.3.7.3	phycoerythrobilin:ferredoxin oxidoreductase
1.14.99.20	phylloquinone monooxygenase (2,3-epoxidizing)
3.4.21.103	physarolisin
1.14.11.18	phytanoyl-CoA dioxygenase
1.3.7.4	phytochromobilin:ferredoxin oxidoreductase
2.5.1.32	phytoene synthase
3.4.22.29	picornain 2A
3.4.22.28	picornain 3C
1.3.1.62	pimeloyl-CoA dehydrogenase
4.2.3.14	pinene synthase
2.3.1.146	pinosylvin synthase
2.3.1.145	piperidine N-piperoyltransferase
3.4.24.55	pitrilysin
3.4.21.34	plasma kallikrein
2.3.1.25	plasmalogen synthase
1.14.99.19	plasmanylethanolamine desaturase
3.4.23.38	plasmepsin I
3.4.23.39	plasmepsin II
3.4.23.B14 (preliminary BRENDA-supplied EC number)	plasmepsin IV
3.4.23.B19 (preliminary BRENDA-supplied EC number)	plasmepsin V
3.4.21.7	plasmin
3.4.23.48	plasminogen activator Pla
1.10.99.1	plastoquinol-plastocyanin reductase
3.6.4.4	plus-end-directed kinesin ATPase
3.6.3.21	polar-amino-acid-transporting ATPase
2.7.11.21	polo kinase
3.1.1.75	poly(3-hydroxybutyrate) depolymerase
3.1.1.76	poly(3-hydroxyoctanoate) depolymerase
3.1.13.4	poly(A)-specific ribonuclease
3.2.1.143	poly(ADP-ribose) glycohydrolase
4.2.2.11	poly(alpha-L-guluronate) lyase
4.2.2.3	poly(beta-D-mannuronate) lyase
2.4.1.52	poly(glycerol-phosphate) alpha-glucosyltransferase
2.4.1.70	poly(ribitol-phosphate) N-acetylglucosaminyltransferase
2.4.1.53	poly(ribitol-phosphate) beta-glucosyltransferase
1.5.3.11	polyamine oxidase
1.5.3.B4 (preliminary BRENDA-supplied EC number)	polyamine oxidase (propane-1,3-diamine-forming)
3.6.3.31	polyamine-transporting ATPase
5.3.3.13	polyenoic fatty acid isomerase
3.2.1.15	polygalacturonase
2.4.1.43	polygalacturonate 4-alpha-galacturonosyltransferase
6.3.2.B4 (preliminary BRENDA-supplied EC number)	polyglycylase
3.2.1.121	polymannuronate hydrolase
3.1.1.78	polyneuridine-aldehyde esterase
3.1.3.32	polynucleotide 3'-phosphatase
2.7.1.78	polynucleotide 5'-hydroxyl-kinase
3.1.3.33	polynucleotide 5'-phosphatase
2.7.7.19	polynucleotide adenylyltransferase
2.4.1.41	polypeptide N-acetylgalactosaminyltransferase
2.7.4.1	polyphosphate kinase
2.7.4.B2 (preliminary BRENDA-supplied EC number)	polyphosphate-AMP phosphotransferase
2.7.1.63	polyphosphate-glucose phosphotransferase
2.7.7.8	polyribonucleotide nucleotidyltransferase
2.1.1.18	polysaccharide O-methyltransferase
2.3.1.136	polysialic-acid O-acetyltransferase
1.1.99.23	polyvinyl-alcohol dehydrogenase (acceptor)
1.1.3.30	polyvinyl-alcohol oxidase
4.2.1.24	porphobilinogen synthase
1.7.1.13	preQ1 synthase
1.3.1.76	precorrin-2 dehydrogenase
1.14.13.83	precorrin-3B synthase
1.3.1.54	precorrin-6A reductase
2.1.1.152	precorrin-6A synthase (deacetylating)
3.1.7.1	prenyl-diphosphatase
1.8.3.5	prenylcysteine oxidase
4.2.1.51	prephenate dehydratase
1.3.1.12	prephenate dehydrogenase
1.3.1.13	prephenate dehydrogenase (NADP+)
3.4.23.43	prepilin peptidase
1.4.3.21	primary-amine oxidase
3.5.3.22	proclavaminate amidinohydrolase
3.4.24.19	procollagen C-endopeptidase
3.4.24.14	procollagen N-endopeptidase
2.4.1.50	procollagen galactosyltransferase
2.4.1.66	procollagen glucosyltransferase
1.14.11.4	procollagen-lysine 5-dioxygenase
1.14.11.7	procollagen-proline 3-dioxygenase
1.14.11.2	procollagen-proline dioxygenase
1.14.99.14	progesterone 11alpha-monooxygenase
1.3.1.30	progesterone 5alpha-reductase
1.14.99.4	progesterone monooxygenase
1.14.11.28	proline 3-hydroxylase
1.5.99.8	proline dehydrogenase
3.4.11.5	prolyl aminopeptidase
3.4.21.26	prolyl oligopeptidase
4.2.1.28	propanediol dehydratase
1.1.1.7	propanediol-phosphate dehydrogenase
2.3.1.176	propanoyl-CoA C-acyltransferase
4.1.2.35	propioin synthase
2.8.3.1	propionate CoA-transferase
2.7.2.15 ()	propionate kinase
2.3.1.154	propionyl-CoA C2-trimethyltridecanoyltransferase
3.4.21.94	proprotein convertase 2
3.4.21.B24 (preliminary BRENDA-supplied EC number)	proprotein convertase 4
3.4.21.B26 (preliminary BRENDA-supplied EC number)	proprotein convertase 5
3.4.21.B27 (preliminary BRENDA-supplied EC number)	proprotein convertase 7
5.3.3.9	prostaglandin-A1 DELTA-isomerase
5.3.99.3	prostaglandin-E synthase
1.1.1.189	prostaglandin-E2 9-reductase
1.1.1.188	prostaglandin-F synthase
5.3.99.4	prostaglandin-I synthase
1.14.99.1	prostaglandin-endoperoxide synthase
1.1.4.B1 (preliminary BRENDA-supplied EC number)	prostamide synthase
3.4.21.B12 (preliminary BRENDA-supplied EC number)	prostase
3.4.21.B6 (preliminary BRENDA-supplied EC number)	prostasin
3.4.24.B16 (preliminary BRENDA-supplied EC number)	protease lasA
3.6.4.8	proteasome ATPase
3.4.25.1	proteasome endopeptidase complex
2.4.1.94	protein N-acetylglucosaminyltransferase
3.6.1.B1 (preliminary BRENDA-supplied EC number)	protein NS3
2.3.1.B1 (preliminary BRENDA-supplied EC number)	protein S-acyltransferase
2.5.1.58	protein farnesyltransferase
2.5.1.59	protein geranylgeranyltransferase type I
2.5.1.60	protein geranylgeranyltransferase type II
2.7.11.13	protein kinase C
2.4.2.26	protein xylosyltransferase
2.1.1.77	protein-L-isoaspartate(D-aspartate) O-methyltransferase
2.7.1.69	protein-Npi-phosphohistidine-sugar phosphotransferase
2.1.1.100	protein-S-isoprenylcysteine O-methyltransferase
2.1.1.B1 (preliminary BRENDA-supplied EC number)	protein-arginine Nomega-methyltransferase
3.5.3.15	protein-arginine deiminase
1.8.1.8	protein-disulfide reductase
1.8.4.2	protein-disulfide reductase (glutathione)
3.2.1.107	protein-glucosylgalactosylhydroxylysine glucosidase
2.1.1.80	protein-glutamate O-methyltransferase
3.1.1.61	protein-glutamate methylesterase
2.3.2.13	protein-glutamine gamma-glutamyltransferase
3.5.1.44	protein-glutamine glutaminase
2.1.1.85	protein-histidine N-methyltransferase
2.7.13.1 (see EC 2.7.13.3 for detailed, organism-specific information for enzymes lacking information on histidine stereochemistry)	protein-histidine pros-kinase
2.7.13.2 (see EC 2.7.13.3 for detailed, organism-specific information for enzymes without information on histidine stereochemistry)	protein-histidine tele-kinase
1.4.3.13	protein-lysine 6-oxidase
1.8.4.6	protein-methionine-S-oxide reductase
3.6.3.50	protein-secreting ATPase
3.6.5.3	protein-synthesizing GTPase
2.8.2.20	protein-tyrosine sulfotransferase
3.1.3.48	protein-tyrosine-phosphatase
3.4.23.B13 (preliminary BRENDA-supplied EC number)	proteinase P15
1.13.11.3	protocatechuate 3,4-dioxygenase
1.13.11.8	protocatechuate 4,5-dioxygenase
1.3.1.33	protochlorophyllide reductase
1.3.3.4	protoporphyrinogen oxidase
3.2.1.118	prunasin beta-glucosidase
3.4.24.26	pseudolysin
2.3.1.186	pseudotropine acyltransferase
2.7.1.83	pseudouridine kinase
4.2.1.70	pseudouridylate synthase
1.14.13.102	psoralen synthase
2.8.2.13	psychosine sulfotransferase
1.17.3.1	pteridine oxidase
1.5.1.33	pteridine reductase
3.5.4.11	pterin deaminase
1.1.1.246	pterocarpin synthase
3.2.1.41	pullulanase
4.3.2.4	purine imidazole-ring cyclase
3.2.2.1	purine nucleosidase
2.4.2.1	purine-nucleoside phosphorylase
2.3.1.138	putrescine N-hydroxycinnamoyltransferase
2.1.1.53	putrescine N-methyltransferase
2.6.1.82	putrescine aminotransferase
2.1.3.6	putrescine carbamoyltransferase
1.4.3.10	putrescine oxidase
1.1.99.29	pyranose dehydrogenase (acceptor)
1.1.3.10	pyranose oxidase
2.1.1.87	pyridine N-methyltransferase
1.1.1.107	pyridoxal 4-dehydrogenase
1.4.3.5	pyridoxal 5'-phosphate synthase
2.7.1.35	pyridoxal kinase
1.2.3.8	pyridoxal oxidase
3.1.3.74	pyridoxal phosphatase
2.6.1.31	pyridoxamine-oxaloacetate transaminase
2.6.1.54	pyridoxamine-phosphate transaminase
2.6.1.30	pyridoxamine-pyruvate transaminase
1.1.1.65	pyridoxine 4-dehydrogenase
1.1.3.12	pyridoxine 4-oxidase
2.4.1.160	pyridoxine 5'-O-beta-D-glucosyltransferase
2.6.99.2	pyridoxine 5'-phosphate synthase
1.1.99.9	pyridoxine 5-dehydrogenase
3.2.2.10	pyrimidine-5'-nucleotide nucleosidase
1.14.11.10	pyrimidine-deoxynucleoside 1'-dioxygenase
1.14.11.3	pyrimidine-deoxynucleoside 2'-dioxygenase
2.4.2.2	pyrimidine-nucleoside phosphorylase
1.5.4.1	pyrimidodiazepine synthase
3.5.4.20	pyrithiamine deaminase
1.13.11.35	pyrogallol 1,2-oxygenase
1.97.1.2	pyrogallol hydroxytransferase
3.4.19.3	pyroglutamyl-peptidase I
3.4.19.6	pyroglutamyl-peptidase II
1.5.1.1	pyrroline-2-carboxylate reductase
1.5.1.2	pyrroline-5-carboxylate reductase
1.3.3.11	pyrroloquinoline-quinone synthase
6.1.1.26	pyrrolysine-tRNAPyl ligase
1.2.1.51	pyruvate dehydrogenase (NADP+)
1.2.4.1	pyruvate dehydrogenase (acetyl-transferring)
1.2.2.2	pyruvate dehydrogenase (cytochrome)
2.7.1.40	pyruvate kinase
1.2.3.3	pyruvate oxidase
1.2.3.6	pyruvate oxidase (CoA-acetylating)
1.2.7.1	pyruvate synthase
2.7.9.1	pyruvate, phosphate dikinase
2.7.9.2	pyruvate, water dikinase
3.6.3.32	quaternary-amine-transporting ATPase
1.13.11.24	quercetin 2,3-dioxygenase
2.1.1.76	quercetin 3-O-methyltransferase
2.8.2.28	quercetin-3,3'-bissulfate 7-sulfotransferase
2.8.2.26	quercetin-3-sulfate 3'-sulfotransferase
2.8.2.27	quercetin-3-sulfate 4'-sulfotransferase
3.2.1.66	quercitrinase
1.14.13.43	questin monooxygenase
2.3.1.99	quinate O-hydroxycinnamoyltransferase
1.1.1.24	quinate dehydrogenase
1.1.99.25	quinate dehydrogenase (pyrroloquinoline-quinone)
1.1.1.282	quinate/shikimate dehydrogenase
1.14.13.67	quinine 3-monooxygenase
2.5.1.72	quinolinate synthase
1.1.5.B3 (preliminary BRENDA-supplied EC number)	quinone dependent L-lactate dehydrogenase
1.1.5.B2 (preliminary BRENDA-supplied EC number)	quinoprotein alcohol dehydrogenase
1.2.2.B1 (preliminary BRENDA-supplied EC number)	quinoprotein formaldehyde dehydrogenase (cytochrome b559/569)
1.2.2.B2 (preliminary BRENDA-supplied EC number)	quinoprotein formaldehyde dehydrogenase (cytochrome cL)
1.1.5.2	quinoprotein glucose dehydrogenase
1.1.5.B1 (preliminary BRENDA-supplied EC number)	quinoprotein inositol dehydrogenase
1.1.2.B2 (preliminary BRENDA-supplied EC number)	quinoprotein methanol dehydrogenase (cytochrmome c551i)
1.1.2.B3 (preliminary BRENDA-supplied EC number)	quinoprotein methanol dehydrogenase (cytochrome c559)
1.1.2.B1 (preliminary BRENDA-supplied EC number)	quinoprotein methanol dehydrogenase (cytochrome cL)
3.1.1.81 ()	quorum-quenching N-acyl-homoserine lactonase
2.1.1.48	rRNA (adenine-N6-)-methyltransferase
2.1.1.66	rRNA (adenosine-2'-O-)-methyltransferase
2.1.1.51	rRNA (guanine-N1-)-methyltransferase
2.1.1.52	rRNA (guanine-N2-)-methyltransferase
3.2.2.22	rRNA N-glycosylase
3.1.27.10	rRNA endonuclease
3.4.22.B15 (preliminary BRENDA-supplied EC number)	rabbit hemorrhagic disease virus 3C-like protease
2.4.1.166	raffinose-raffinose alpha-galactosyltransferase
3.2.1.125	raucaffricine beta-glucosidase
2.7.11.30	receptor protein serine/threonine kinase
2.7.10.1	receptor protein-tyrosine kinase
1.3.1.80	red chlorophyll catabolite reductase
3.4.23.15	renin
1.21.3.3	reticuline oxidase
